date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:42	171390/171390	---M--	200	added ('OK')	image/png	etag:%221827c5a7b47567ff04235883434d5b87-ssl%22	https://yuta-abe.com/assets/img/projects/gig/img-wide.png	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/gig/img-wide.png	(from https://yuta-abe.com/projects/gig/)
00:19:43	109083/109083	---M--	200	added ('OK')	image/jpeg	etag:%220f7dccea490e32990c48d62d7d8d6a38-ssl%22	https://yuta-abe.com/assets/img/projects/kyotorism/pict1.jpg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/kyotorism/pict1.jpg	(from https://yuta-abe.com/projects/kyotorism/)
00:19:44	149948/149948	---M--	200	added ('OK')	image/jpeg	etag:%22099583ae4806cf6ae34626583a4a49b6-ssl%22	https://yuta-abe.com/assets/img/projects/kyotorism/pict3.jpg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/kyotorism/pict3.jpg	(from https://yuta-abe.com/projects/kyotorism/)
00:19:44	325/325	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d9cf1bf5552f97ba5a5d97e04d033f45-ssl%22	https://yuta-abe.com/playground/01-rotation-objects	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/01-rotation-objects.1b.delayed	(from https://yuta-abe.com/projects/playground/)
00:19:44	325/325	---M--	200	added ('OK')	text/html	etag:%22d9cf1bf5552f97ba5a5d97e04d033f45-ssl%22	https://yuta-abe.com/playground/01-rotation-objects/	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/01-rotation-objects/index.html	(from https://yuta-abe.com/projects/playground/)
00:19:44	320/320	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22565858f3bd6adc26efa64041cb4bd04d-ssl%22	https://yuta-abe.com/playground/02-shader-test	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/02-shader-test.1c.delayed	(from https://yuta-abe.com/projects/playground/)
00:19:45	320/320	---M--	200	added ('OK')	text/html	etag:%22565858f3bd6adc26efa64041cb4bd04d-ssl%22	https://yuta-abe.com/playground/02-shader-test/	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/02-shader-test/index.html	(from https://yuta-abe.com/projects/playground/)
00:19:46	667714/667714	---MCZ	200	added ('OK')	application/javascript	etag:%223532c7143c05a7b51e1675c1df4ab4e6-ssl-df%22	https://yuta-abe.com/playground/01-rotation-objects/bundle.6d17c92b21c09d43e692.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/01-rotation-objects/bundle.6d17c92b21c09d43e692.js	(from https://yuta-abe.com/playground/01-rotation-objects/)
00:19:46	387/387	---M--	200	added ('OK')	text/css	etag:%227037b1627fb278b7219e81101e72173e-ssl%22	https://yuta-abe.com/playground/01-rotation-objects/main.css	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/01-rotation-objects/main.css	(from https://yuta-abe.com/playground/01-rotation-objects/)
00:19:47	611819/611819	---MCZ	200	added ('OK')	application/javascript	etag:%2243827678c95b5978a5586ff806f2139f-ssl-df%22	https://yuta-abe.com/playground/02-shader-test/bundle.74b08d8db1d6a9f94328.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/02-shader-test/bundle.74b08d8db1d6a9f94328.js	(from https://yuta-abe.com/playground/02-shader-test/)
00:19:47	189/189	---M--	200	added ('OK')	text/css	etag:%22c14b7f2c78324781e6831d2a2ecf094c-ssl%22	https://yuta-abe.com/playground/02-shader-test/main.css	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/playground/02-shader-test/main.css	(from https://yuta-abe.com/playground/02-shader-test/)
